id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
99,2,3,1,2,0.4,0.00439237,true,6.859654829943336e-11,0.03999999751301252,0.039999999755363336,[0.0; 0.0; 0.0; 0.12777460795590015; 0.0665946201335385; -0.13870402348521013]
100,2,3,1,2,0.4,0.004428554,true,8.376684509176547e-11,0.039999995350855924,0.03999999956015796,[0.0; 0.0; 0.0; -0.05959942431670493; 0.13478856745303708; 0.13520336795019358]
101,2,3,1,2,0.4,0.005289059,true,1.3333439016831306e-9,0.03999996846233361,0.03999999840811473,[0.0; 0.0; 0.0; -0.12012490169080424; -0.09535803322731032; 0.128362196509696]
102,2,3,1,2,0.4,0.005309823,true,1.077432283594587e-10,0.0399999969615095,0.0399999997169691,[0.0; 0.0; 0.0; -0.0781267833627449; 0.18136525780636714; -0.03166779092738723]
103,2,3,1,2,0.4,0.034884696,true,9.230325162878039e-11,0.03999999609391955,0.03999999941743664,[0.0; 0.0; 0.0; 0.1394606299138382; 0.14067240893309405; 0.027604457411726364]
104,2,3,1,2,0.4,0.005419371,true,4.267609668936242e-11,0.03999999769205199,0.03999999987066101,[0.0; 0.0; 0.0; 0.19695638638965896; 0.023904041510988114; 0.02523447363763183]
105,2,3,1,2,0.4,0.005046104,true,3.853753643648907e-10,0.0399999887139279,0.039999999379705393,[0.0; 0.0; 0.0; -0.1393163083792855; -0.049699250861456414; 0.13461408055392218]
106,2,3,1,2,0.4,0.004915774,true,3.7675600458621814e-10,0.03999998713803299,0.03999999903844304,[0.0; 0.0; 0.0; -0.11499873052192067; -0.005370970953240593; 0.16354340295275172]
107,2,3,1,2,0.4,0.006613963,true,1.826050294416131e-9,0.03999996850359781,0.039999997966862974,[0.0; 0.0; 0.0; -0.04617905662118773; 0.12316753653146145; 0.15065607413691706]
108,2,3,1,2,0.4,0.006172299,true,3.6700706042318983e-9,0.03999996585961973,0.040000001185800896,[0.0; 0.0; 0.0; -0.06719772192807914; -0.1650181219477; -0.09084869617408152]
109,2,3,1,2,0.4,0.006410784,true,6.376877274069976e-11,0.03999999705857809,0.03999999978509044,[0.0; 0.0; 0.0; 0.14575818583173195; 0.09319750189437516; -0.10034329526027252]
110,2,3,1,2,0.4,0.005416034,true,9.738355417078908e-11,0.039999994859025174,0.03999999943336954,[0.0; 0.0; 0.0; -0.02936300111427992; 0.18024599430874907; 0.08154260053011064]
111,2,3,1,2,0.4,0.005778243,true,1.0291273277602307e-9,0.039999975293822376,0.03999999815071625,[0.0; 0.0; 0.0; -0.05367451557698405; -0.08378441997962034; 0.17349126014371644]
112,2,3,1,2,0.4,0.006010979,true,1.958490601759238e-12,0.03999999923558586,0.04000000002904219,[0.0; 0.0; 0.0; 0.0649201620756663; 0.01011594788182797; 0.18889955043493717]
113,2,3,1,2,0.4,0.004896381,true,6.554624860193511e-11,0.03999999486769997,0.03999999937142158,[0.0; 0.0; 0.0; -0.008636832491123366; -0.1709133006724526; 0.10350868938291163]
114,2,3,1,2,0.4,0.004702459,true,3.621043672738194e-11,0.03999999786701786,0.03999999994370626,[0.0; 0.0; 0.0; 0.19483158278347223; -0.00834711358498443; 0.044395721020007925]
115,2,3,1,2,0.4,0.004486555,true,7.41914915195828e-11,0.03999999560084765,0.03999999934935179,[0.0; 0.0; 0.0; 0.05370719947843752; -0.1923821912931444; 0.01022884145107929]
116,2,3,1,2,0.4,0.004298863,true,6.495876638415916e-10,0.03999997583270439,0.03999999789740147,[0.0; 0.0; 0.0; -0.05955278337824502; 0.03206558301959317; 0.1882160045732493]
117,2,3,1,2,0.4,0.004588476,true,1.1715987951989772e-10,0.039999977865243674,0.039999996093235554,[0.0; 0.0; 0.0; 0.10484505051650286; -0.010922497007938027; 0.1699653330573725]
118,2,3,1,2,0.4,0.004765726,true,1.8170229541502577e-12,0.03999999920808506,0.04000000000210985,[0.0; 0.0; 0.0; 0.036374838240707294; -0.02046436605635488; 0.1955967301998525]
119,2,3,1,2,0.4,0.005058624,true,1.524203415002638e-12,0.039999999109452705,0.039999999968939354,[0.0; 0.0; 0.0; 0.06883992394283321; 0.02097695719782288; 0.18660394459460297]
120,2,3,1,2,0.4,0.004857732,true,7.616251639101307e-11,0.039999996260215664,0.03999999949349706,[0.0; 0.0; 0.0; 0.13686877714438336; 0.13962322179324957; -0.04209861968134054]
121,2,3,1,2,0.4,0.004711038,true,7.797359855883949e-11,0.03999999623183838,0.03999999947937772,[0.0; 0.0; 0.0; 0.1474211974015934; -0.13473971403163987; -0.010592451054989356]
122,2,3,1,2,0.4,0.00434601,true,1.9322178416627874e-9,0.03999996373733813,0.03999999776287313,[0.0; 0.0; 0.0; -0.0642439254410746; -0.12052893357426736; 0.14610097267086042]
