id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1402,2,2,1,2,0.4,0.002720509,true,1.4747515373788104e-10,0.039999998222389165,0.03999999991389922,[0.0; 0.0; 0.2]
1403,2,2,1,2,0.4,0.002667433,true,3.4852610344756674e-9,0.03999998028646214,0.04000000156867128,[0.0; 0.0; -0.2]
1404,2,2,1,2,0.4,0.002808215,true,1.4747515373788104e-10,0.039999998222389276,0.03999999991389922,[0.0; 0.0; 0.2]
1405,2,2,1,2,0.4,0.002476135,true,3.4852610344756674e-9,0.039999980286462566,0.04000000156867128,[0.0; 0.0; -0.2]
1406,2,2,1,2,0.4,0.002687339,true,1.4747515373788104e-10,0.0399999982223895,0.03999999991389922,[0.0; 0.0; 0.2]
1407,2,2,1,2,0.4,0.002688221,true,1.4747515373788104e-10,0.03999999822238909,0.03999999991389922,[0.0; 0.0; 0.2]
1408,2,2,1,2,0.4,0.002561864,true,3.4852610344756674e-9,0.039999980286462414,0.04000000156867128,[0.0; 0.0; -0.2]
1409,2,2,1,2,0.4,0.002602002,true,3.4852610344756674e-9,0.03999998028646212,0.04000000156867128,[0.0; 0.0; -0.2]
1410,2,2,1,2,0.4,0.002568601,true,3.4852610344756674e-9,0.03999998028646221,0.04000000156867128,[0.0; 0.0; -0.2]
1411,2,2,1,2,0.4,0.00270917,true,1.4747515373788104e-10,0.03999999822238909,0.03999999991389922,[0.0; 0.0; 0.2]
1412,2,2,1,2,0.4,0.002764611,true,1.4747515373788104e-10,0.03999999822238909,0.03999999991389922,[0.0; 0.0; 0.2]
1413,2,2,1,2,0.4,0.002593663,true,3.4852610344756674e-9,0.03999998028646221,0.04000000156867128,[0.0; 0.0; -0.2]
1414,2,2,1,2,0.4,0.002752362,true,1.4747515373788104e-10,0.03999999822238909,0.03999999991389922,[0.0; 0.0; 0.2]
1415,2,2,1,2,0.4,0.002758105,true,1.4747515373788104e-10,0.039999998222389206,0.03999999991389922,[0.0; 0.0; 0.2]
1416,2,2,1,2,0.4,0.002796729,true,1.4747515373788104e-10,0.03999999822238931,0.03999999991389922,[0.0; 0.0; 0.2]
1417,2,2,1,2,0.4,0.003213044,true,1.4747515373788104e-10,0.039999998222389394,0.03999999991389922,[0.0; 0.0; 0.2]
1418,2,2,1,2,0.4,0.002694097,true,3.4852610344756674e-9,0.039999980286462636,0.04000000156867128,[0.0; 0.0; -0.2]
1419,2,2,1,2,0.4,0.002818025,true,1.4747515373788104e-10,0.0399999982223892,0.03999999991389922,[0.0; 0.0; 0.2]
1420,2,2,1,2,0.4,0.002738516,true,1.4747515373788104e-10,0.03999999822238931,0.03999999991389922,[0.0; 0.0; 0.2]
1421,2,2,1,2,0.4,0.002792081,true,1.4747515373788104e-10,0.039999998222389206,0.03999999991389922,[0.0; 0.0; 0.2]
1422,2,2,1,2,0.4,0.002903395,true,1.4747515373788104e-10,0.039999998222389394,0.03999999991389922,[0.0; 0.0; 0.2]
1423,2,2,1,2,0.4,0.003697363,true,3.4852610344756674e-9,0.03999998028646214,0.04000000156867128,[0.0; 0.0; -0.2]
1424,2,2,1,2,0.4,0.003470805,true,1.4747515373788104e-10,0.039999998222389206,0.03999999991389922,[0.0; 0.0; 0.2]
1425,2,2,1,2,0.4,0.00330216,true,1.4747515373788104e-10,0.03999999822238931,0.03999999991389922,[0.0; 0.0; 0.2]
1426,2,2,1,2,0.4,0.00308868,true,3.4852610344756674e-9,0.039999980286462344,0.04000000156867128,[0.0; 0.0; -0.2]
1427,2,2,1,2,0.4,0.003156749,true,3.4852610344756674e-9,0.039999980286462254,0.04000000156867128,[0.0; 0.0; -0.2]
1428,2,2,1,2,0.4,0.003155834,true,3.4852610344756674e-9,0.03999998028646212,0.04000000156867128,[0.0; 0.0; -0.2]
1429,2,2,1,2,0.4,0.002992557,true,3.4852610344756674e-9,0.039999980286462344,0.04000000156867128,[0.0; 0.0; -0.2]
1430,2,2,1,2,0.4,0.003322972,true,1.4747515373788104e-10,0.03999999822238909,0.03999999991389922,[0.0; 0.0; 0.2]
